Parent	WATOff	Names	Truck	Plant	Stud0	Stud1	Stud2	Stud3	Stud4	Stud5	Stud6	Stud7	Stud8	Mach0	Mach1	Mach2	Mach3	Mach4	Mach5	Mach6	Mach7	Mach8	Mach9	Mach10	Mach11	Mach12	Mach13	Mach14	Mach15	Mach16	Mach17	Cour0	Cour1	Cour2	
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	
S	S	S																														S	S	S	
		R0												S18																					
		R1													S18																				
		R2														S18																			
		R3															S18																		
		R4																S18																	
D3,3		R5																	S18																
		R6																		S18															
		R7																			S18														
		R8																				S18													
		R9																					S18												
		R10																						S18											
		R11																							S18										
D5,1		R12																								S18									
		R13																									S18								
		R14																										S18							
		R15																											S18						
		R16																												S18					
	C0,5	R17	S	S																											S18	t0,5			
		N0,0			S0,3																														
D0,2	C1,5	N1,1		G16	V0																												t1,5		
	C2,5					S0,3																													
		N2,2				V1	S2,2																											t2,5	
	C3,5	N3,3					V2	S2,4																											
	C4,5	N4,4	P16					V3																											
			d0,16						S3,5																										
	C5,5	N5,5	D0,0	P					V4	S2,3				r																					
	C6,5	N6,6		G35						V5	S0,3			R																					
D6,1	C7,5	N7,7	P35								V6																								
			d0,35																																
			U0,22									S0,3																							
	C8,5	N8,8	D0,5	P								V7		r																					
			d1,5										S2,4																						
			D1,0	G53									V8	R	r																				
			P53												R																				
			d0,53																																
			U0,1	P										r																					
			D0,32																																
			d1,32																																
D7,2			U1,33	G44										R	r																				
			D1,2																																
			d2,2												R	r																			
			D2,0													R																			
			P44																																
			d0,44																																
D8,2			U0,0	P										r																					
			D0,43																																
			d1,43																																
			U1,3	G33										R	r																				
			D1,13																																
			d2,13												R	r																			
			D2,0													R																			
			P33																																
			d0,33																																
D5,3			U0,0	P										r																					
			D0,33																																
			d1,33																																
			U1,0	G53										R	r																				
			D1,30																																
			d2,30																																
			U2,30												R	r																			
			D2,7																																
			d3,7													R	r																		
D1,2			D3,0														R																		
			P53																																
			d0,53																																
			U0,0	P										r																					
			D0,53																																
			d1,53																																
			U1,0	G42										R	r																				
			D1,53																																
			d2,53																																
			U2,4												R	r																			
			D2,27																																
			d3,27																																
			U3,41													R	r																		
			D3,7																																
			d4,7														R	r																	
D5,1			D4,0															R																	
			P42																																
			d0,42																																
			U0,0	P										r																					
			D0,42																																
			d1,42																																
			U1,0	G49										R	r																				
			D1,42																																
